guest_count,venue_district,ceremony_type,wedding_scale,seasonal_indicator,total_cost_lkr
142,Gampaha,Hindu,standard,1,1638000
163,Kurunegala,Christian,budget,1,870000
213,Gampaha,Poruwa,budget,1,1032000
145,Kalutara,Poruwa,budget,0,617000
335,Colombo,Buddhist,standard,1,4698000
226,Galle,Islamic,budget,0,725000
255,Galle,Christian,standard,0,2112000
102,Colombo,Poruwa,budget,1,752000
264,Kurunegala,Christian,premium,1,7432000
302,Kalutara,Poruwa,standard,0,2156000
388,Kurunegala,Buddhist,standard,1,4448000
341,Kalutara,Islamic,premium,0,16249000
68,Kalutara,Christian,budget,0,410000
50,Kandy,Poruwa,standard,0,693000
107,Galle,Poruwa,budget,0,524000
301,Kurunegala,Islamic,premium,0,7614000
63,Colombo,Poruwa,standard,1,1192000
61,Gampaha,Islamic,budget,1,465000
365,Gampaha,Islamic,budget,0,1642000
250,Colombo,Poruwa,budget,1,1217000
131,Kandy,Poruwa,premium,0,4740000
300,Kurunegala,Poruwa,premium,1,9640000
226,Kandy,Poruwa,standard,0,2848000
147,Colombo,Christian,premium,0,7725000
400,Kurunegala,Christian,budget,0,1187000
194,Kurunegala,Buddhist,standard,0,1341000
337,Gampaha,Islamic,premium,1,15821000
167,Kandy,Christian,standard,1,1859000
300,Colombo,Buddhist,premium,0,8671000
115,Kandy,Christian,premium,1,8582000
335,Kandy,Christian,premium,1,17682000
79,Gampaha,Christian,budget,0,325000
379,Colombo,Islamic,budget,1,1693000
92,Kandy,Christian,premium,0,3474000
57,Galle,Islamic,budget,0,353000
110,Gampaha,Christian,premium,0,4982000
71,Kurunegala,Buddhist,budget,0,269000
127,Gampaha,Poruwa,premium,0,4431000
156,Kurunegala,Buddhist,standard,1,1772000
229,Kalutara,Hindu,premium,1,6995000
236,Kandy,Christian,premium,0,11745000
64,Colombo,Poruwa,standard,0,1142000
349,Colombo,Buddhist,budget,1,1518000
158,Gampaha,Islamic,premium,1,6508000
132,Gampaha,Buddhist,budget,1,828000
278,Colombo,Buddhist,budget,1,526000
53,Kalutara,Christian,standard,1,1099000
296,Kandy,Christian,premium,1,15635000
371,Galle,Islamic,premium,1,13539000
111,Colombo,Hindu,premium,0,5179000
182,Kalutara,Hindu,standard,1,1785000
189,Colombo,Hindu,standard,1,2987000
382,Kandy,Christian,budget,1,2190000
62,Gampaha,Islamic,budget,0,323000
87,Kandy,Buddhist,budget,1,583000
186,Gampaha,Islamic,premium,0,7574000
398,Kandy,Buddhist,budget,1,2156000
388,Kandy,Hindu,standard,1,5770000
377,Kalutara,Christian,budget,1,1641000
194,Colombo,Hindu,standard,0,2950000
247,Kalutara,Christian,premium,0,9623000
206,Colombo,Islamic,standard,0,2198000
338,Kalutara,Islamic,standard,1,4551000
167,Kalutara,Poruwa,premium,0,6310000
206,Kurunegala,Poruwa,premium,1,7076000
292,Galle,Islamic,standard,0,3351000
379,Kalutara,Hindu,standard,0,3549000
259,Colombo,Buddhist,premium,1,12975000
373,Kurunegala,Poruwa,premium,1,12973000
100,Kurunegala,Buddhist,standard,0,976000
395,Kalutara,Islamic,standard,0,3783000
358,Colombo,Hindu,budget,0,237000
74,Gampaha,Christian,standard,1,1351000
66,Kandy,Christian,premium,0,3016000
393,Colombo,Buddhist,budget,0,2196000
98,Colombo,Islamic,budget,0,636000
98,Colombo,Poruwa,standard,0,1407000
335,Kandy,Hindu,budget,1,1709000
215,Kandy,Islamic,budget,1,201000
211,Galle,Buddhist,premium,0,8098000
57,Colombo,Buddhist,premium,0,3633000
377,Kalutara,Buddhist,premium,0,13890000
340,Kalutara,Christian,budget,1,1843000
56,Gampaha,Buddhist,premium,0,2263000
131,Gampaha,Buddhist,premium,0,4070000
244,Galle,Islamic,budget,0,829000
391,Galle,Buddhist,standard,1,4962000
258,Kalutara,Buddhist,standard,0,2382000
284,Kalutara,Islamic,standard,1,3869000
375,Gampaha,Poruwa,standard,1,3282000
202,Kalutara,Hindu,premium,0,8166000
336,Kalutara,Christian,standard,1,3902000
239,Gampaha,Hindu,standard,0,2809000
198,Kandy,Christian,budget,0,196000
104,Kalutara,Poruwa,budget,1,549000
386,Kalutara,Christian,budget,0,1876000
122,Colombo,Buddhist,budget,0,570000
340,Kandy,Hindu,budget,1,658000
324,Kurunegala,Islamic,premium,0,9484000
352,Galle,Christian,premium,0,9184000
247,Colombo,Hindu,budget,1,1157000
96,Gampaha,Buddhist,premium,1,4867000
384,Kurunegala,Buddhist,premium,1,14510000
152,Colombo,Christian,budget,1,761000
232,Galle,Buddhist,budget,1,1182000
157,Kalutara,Hindu,premium,0,8768000
190,Gampaha,Christian,premium,0,7656000
321,Galle,Buddhist,standard,1,4474000
226,Kandy,Poruwa,standard,1,2911000
202,Colombo,Poruwa,standard,0,2508000
189,Kandy,Hindu,budget,0,1087000
368,Kalutara,Christian,standard,0,3026000
108,Galle,Poruwa,premium,1,6083000
290,Gampaha,Christian,standard,0,3277000
69,Gampaha,Buddhist,budget,0,395000
194,Kandy,Christian,standard,0,1791000
147,Kandy,Buddhist,premium,0,5251000
275,Galle,Hindu,budget,0,454000
275,Galle,Christian,budget,1,522000
225,Kurunegala,Islamic,budget,0,694000
398,Kandy,Hindu,premium,1,15773000
286,Colombo,Christian,budget,0,1133000
230,Gampaha,Islamic,premium,0,7354000
363,Colombo,Christian,premium,0,13135000
88,Gampaha,Islamic,standard,1,1271000
273,Kurunegala,Christian,budget,0,109000
393,Kurunegala,Christian,standard,0,3287000
368,Galle,Islamic,premium,1,16587000
291,Galle,Christian,budget,1,1151000
71,Gampaha,Christian,standard,1,1193000
276,Galle,Poruwa,premium,0,7368000
107,Gampaha,Hindu,standard,1,1584000
88,Kurunegala,Poruwa,premium,1,3805000
71,Kandy,Christian,premium,0,8776000
133,Kalutara,Christian,budget,0,677000
64,Gampaha,Poruwa,premium,1,3257000
257,Kandy,Islamic,standard,0,3144000
76,Kalutara,Hindu,premium,0,7509000
95,Colombo,Buddhist,standard,1,1564000
368,Kalutara,Poruwa,budget,1,1258000
258,Kurunegala,Hindu,standard,1,2216000
350,Colombo,Buddhist,standard,0,4693000
90,Colombo,Islamic,budget,1,605000
141,Galle,Buddhist,standard,1,1546000
282,Kurunegala,Buddhist,budget,1,417000
139,Kalutara,Hindu,standard,0,1846000
366,Kandy,Christian,standard,0,3098000
90,Gampaha,Islamic,standard,1,1275000
363,Kalutara,Hindu,premium,0,12769000
61,Galle,Poruwa,budget,0,273000
168,Kurunegala,Christian,standard,1,2201000
361,Colombo,Christian,premium,1,20863000
256,Colombo,Islamic,budget,1,1827000
342,Galle,Islamic,standard,1,3937000
166,Gampaha,Islamic,standard,0,1568000
292,Kandy,Hindu,standard,0,3065000
70,Colombo,Christian,standard,1,1629000
63,Kalutara,Hindu,premium,0,3696000
365,Kurunegala,Buddhist,standard,0,3607000
77,Gampaha,Christian,budget,0,332000
350,Kandy,Hindu,premium,1,11236000
381,Kalutara,Buddhist,budget,0,1139000
362,Kalutara,Islamic,budget,0,1201000
169,Galle,Islamic,premium,0,10039000
383,Gampaha,Buddhist,premium,0,14743000
84,Kalutara,Poruwa,budget,0,365000
61,Gampaha,Islamic,budget,1,134000
334,Colombo,Christian,standard,0,4705000
175,Kurunegala,Islamic,standard,1,1506000
206,Kalutara,Poruwa,premium,1,8567000
163,Gampaha,Buddhist,standard,1,2546000
351,Galle,Buddhist,budget,0,1294000
118,Colombo,Hindu,standard,1,1800000
138,Kurunegala,Buddhist,budget,0,454000
151,Kalutara,Islamic,standard,0,1760000
328,Kandy,Poruwa,premium,0,10900000
114,Galle,Hindu,premium,0,5450000
354,Colombo,Christian,standard,1,4796000
379,Gampaha,Buddhist,premium,0,11079000
166,Kurunegala,Hindu,budget,1,757000
349,Galle,Christian,premium,1,19589000
156,Kurunegala,Islamic,premium,0,5272000
326,Kurunegala,Christian,standard,1,3529000
185,Gampaha,Islamic,standard,1,1851000
399,Kandy,Islamic,standard,0,3256000
290,Gampaha,Poruwa,standard,1,2576000
359,Colombo,Islamic,budget,1,2265000
269,Colombo,Hindu,budget,0,1590000
219,Colombo,Hindu,premium,0,8322000
216,Gampaha,Buddhist,standard,0,1731000
118,Colombo,Christian,standard,0,1867000
192,Kandy,Islamic,premium,1,6247000
303,Colombo,Hindu,premium,0,8400000
174,Colombo,Buddhist,premium,0,5391000
91,Kurunegala,Islamic,budget,0,297000
119,Colombo,Islamic,budget,0,487000
198,Kalutara,Hindu,premium,1,11976000
264,Galle,Hindu,standard,0,3307000
313,Kalutara,Islamic,standard,1,3513000
257,Gampaha,Buddhist,premium,1,8995000
52,Kalutara,Poruwa,premium,1,4372000
370,Colombo,Poruwa,standard,1,3899000
321,Galle,Islamic,standard,0,2510000
286,Gampaha,Buddhist,budget,1,115000
229,Kalutara,Hindu,standard,0,2680000
391,Galle,Poruwa,standard,1,4918000
207,Gampaha,Christian,premium,1,7449000
115,Kandy,Hindu,premium,1,5287000
74,Gampaha,Buddhist,budget,1,420000
385,Kalutara,Poruwa,premium,0,13132000
74,Galle,Poruwa,budget,0,346000
209,Kurunegala,Christian,standard,1,2663000
315,Colombo,Hindu,standard,0,3644000
148,Kurunegala,Buddhist,standard,1,1684000
309,Galle,Buddhist,budget,0,1604000
227,Kurunegala,Islamic,premium,1,9409000
63,Kurunegala,Poruwa,standard,0,755000
128,Kurunegala,Hindu,premium,1,4873000
291,Kurunegala,Poruwa,budget,1,177000
237,Kandy,Poruwa,premium,0,5232000
301,Gampaha,Christian,budget,0,1050000
162,Colombo,Buddhist,budget,0,913000
146,Gampaha,Hindu,standard,1,2450000
339,Kandy,Buddhist,premium,0,9127000
136,Kurunegala,Poruwa,budget,0,429000
201,Colombo,Poruwa,budget,1,954000
260,Kandy,Islamic,premium,0,8638000
369,Gampaha,Islamic,budget,0,1738000
98,Galle,Islamic,standard,0,1483000
304,Gampaha,Hindu,budget,1,1126000
318,Kurunegala,Islamic,standard,0,3026000
232,Colombo,Buddhist,premium,1,10669000
262,Galle,Christian,standard,0,3495000
168,Colombo,Islamic,budget,0,699000
175,Kalutara,Islamic,premium,1,5879000
397,Kurunegala,Poruwa,standard,1,3785000
99,Kandy,Islamic,budget,1,171000
240,Kalutara,Christian,premium,0,8874000
177,Kurunegala,Hindu,standard,1,1910000
153,Kandy,Hindu,standard,0,2080000
280,Kandy,Christian,standard,0,3471000
283,Gampaha,Hindu,standard,1,3488000
69,Kandy,Christian,premium,0,2597000
160,Kurunegala,Islamic,standard,1,1520000
359,Kurunegala,Hindu,standard,1,3991000
53,Kurunegala,Christian,budget,1,74000
208,Galle,Islamic,premium,0,7521000
79,Gampaha,Poruwa,premium,1,5152000
195,Galle,Buddhist,premium,1,8337000
197,Kandy,Islamic,premium,0,6555000
110,Gampaha,Hindu,premium,0,7436000
386,Kandy,Poruwa,premium,0,9968000
118,Kurunegala,Poruwa,budget,0,65000
309,Kalutara,Hindu,premium,0,8341000
223,Galle,Islamic,budget,0,1090000
155,Kalutara,Islamic,premium,0,6035000
231,Gampaha,Buddhist,budget,1,974000
156,Galle,Hindu,standard,0,1885000
56,Kalutara,Hindu,premium,1,3109000
203,Galle,Buddhist,budget,1,373000
267,Kurunegala,Buddhist,premium,0,6316000
210,Gampaha,Poruwa,premium,1,7850000
201,Kurunegala,Poruwa,standard,1,1806000
66,Gampaha,Hindu,budget,1,81000
106,Gampaha,Hindu,standard,1,1545000
343,Galle,Christian,standard,0,4103000
117,Kalutara,Islamic,standard,0,1418000
141,Kalutara,Christian,budget,0,771000
115,Colombo,Christian,budget,1,331000
138,Kandy,Hindu,premium,0,5175000
57,Galle,Islamic,budget,1,322000
96,Kalutara,Hindu,standard,1,1277000
385,Kandy,Poruwa,premium,0,12775000
178,Kurunegala,Islamic,premium,0,4681000
324,Colombo,Islamic,premium,1,11873000
70,Kalutara,Poruwa,standard,1,1215000
296,Kandy,Poruwa,budget,0,1365000
203,Kalutara,Poruwa,premium,0,5949000
183,Kandy,Islamic,budget,0,687000
265,Gampaha,Christian,standard,1,3792000
212,Galle,Hindu,budget,0,1015000
199,Colombo,Poruwa,premium,1,6785000
321,Gampaha,Hindu,premium,1,12120000
173,Colombo,Christian,standard,0,2617000
166,Kurunegala,Islamic,standard,1,1516000
301,Kurunegala,Hindu,premium,0,8567000
95,Kalutara,Islamic,budget,1,481000
330,Kalutara,Hindu,standard,0,3293000
324,Colombo,Islamic,budget,0,1884000
170,Galle,Christian,premium,1,9064000
335,Colombo,Buddhist,budget,1,1434000
271,Colombo,Islamic,premium,1,8734000
159,Kalutara,Buddhist,premium,0,5232000
317,Kandy,Christian,standard,1,3194000
221,Colombo,Poruwa,budget,0,122000
265,Colombo,Poruwa,premium,0,11266000
96,Colombo,Christian,standard,1,1692000
87,Galle,Buddhist,budget,0,449000
125,Kurunegala,Christian,standard,1,1176000
306,Kalutara,Buddhist,standard,0,3493000
142,Kurunegala,Buddhist,premium,1,5808000
361,Colombo,Poruwa,budget,1,2113000
139,Kurunegala,Poruwa,budget,1,726000
314,Kurunegala,Buddhist,budget,0,1156000
232,Colombo,Poruwa,premium,1,8610000
94,Colombo,Islamic,premium,1,5880000
317,Kurunegala,Buddhist,budget,1,1620000
202,Kandy,Poruwa,premium,0,6311000
210,Galle,Hindu,budget,0,1077000
381,Gampaha,Christian,premium,0,16627000
356,Kandy,Poruwa,standard,1,4658000
308,Galle,Christian,budget,1,232000
345,Gampaha,Buddhist,budget,1,1276000
350,Gampaha,Poruwa,budget,1,1824000
343,Galle,Poruwa,standard,0,2494000
122,Kurunegala,Hindu,standard,1,1271000
221,Colombo,Christian,standard,0,3340000
205,Kurunegala,Islamic,budget,1,750000
206,Gampaha,Islamic,standard,1,2678000
175,Kandy,Buddhist,budget,1,83000
253,Kalutara,Buddhist,premium,1,10378000
116,Kandy,Poruwa,standard,0,1370000
311,Kandy,Poruwa,premium,0,9960000
86,Gampaha,Islamic,budget,0,85000
250,Colombo,Poruwa,budget,0,1195000
118,Kurunegala,Buddhist,budget,0,518000
91,Gampaha,Poruwa,premium,1,8642000
373,Kandy,Buddhist,premium,1,14211000
322,Kandy,Islamic,standard,1,4785000
390,Galle,Poruwa,budget,0,1898000
316,Kalutara,Poruwa,premium,1,8033000
233,Galle,Buddhist,standard,1,3099000
203,Galle,Islamic,standard,0,2166000
265,Kandy,Christian,budget,0,1412000
224,Galle,Poruwa,premium,1,7849000
386,Colombo,Buddhist,premium,0,16330000
238,Gampaha,Poruwa,standard,0,2171000
326,Galle,Hindu,budget,1,1894000
212,Kandy,Hindu,standard,0,1894000
341,Colombo,Poruwa,budget,0,1238000
237,Colombo,Buddhist,premium,1,11091000
309,Kalutara,Christian,premium,1,13709000
339,Kurunegala,Poruwa,premium,0,6705000
211,Gampaha,Islamic,standard,1,2988000
160,Galle,Hindu,premium,0,5168000
104,Kandy,Poruwa,premium,0,5166000
318,Kurunegala,Christian,budget,0,1190000
81,Kalutara,Hindu,standard,1,1215000
102,Kalutara,Islamic,budget,0,449000
339,Gampaha,Hindu,premium,0,11493000
290,Gampaha,Poruwa,standard,1,2729000
137,Gampaha,Buddhist,standard,0,1871000
114,Kandy,Christian,budget,0,170000
356,Kurunegala,Christian,budget,1,1572000
267,Kurunegala,Buddhist,premium,0,7358000
62,Kurunegala,Buddhist,premium,0,2050000
260,Galle,Poruwa,standard,0,3296000
352,Gampaha,Christian,budget,1,1457000
149,Gampaha,Buddhist,budget,1,91000
392,Kurunegala,Poruwa,standard,0,2444000
52,Galle,Islamic,budget,1,115000
284,Kandy,Poruwa,budget,0,1090000
95,Kurunegala,Poruwa,standard,1,1131000
187,Kandy,Buddhist,premium,0,7095000
73,Kurunegala,Christian,budget,1,117000
205,Colombo,Islamic,standard,1,3677000
282,Gampaha,Poruwa,standard,0,3147000
104,Gampaha,Islamic,budget,1,541000
184,Galle,Christian,budget,1,91000
94,Kalutara,Christian,premium,0,4881000
254,Galle,Islamic,standard,1,3036000
361,Galle,Hindu,premium,0,12987000
108,Gampaha,Islamic,premium,1,4772000
388,Kandy,Poruwa,budget,1,1637000
370,Colombo,Islamic,standard,1,5075000
290,Gampaha,Poruwa,budget,0,1414000
273,Kurunegala,Hindu,budget,1,396000
259,Kalutara,Hindu,standard,0,2003000
142,Galle,Poruwa,premium,1,6768000
99,Kandy,Islamic,standard,0,972000
233,Kandy,Hindu,standard,0,2002000
68,Kalutara,Hindu,standard,1,1221000
174,Gampaha,Buddhist,premium,0,3903000
190,Gampaha,Islamic,premium,1,8867000
133,Gampaha,Poruwa,standard,1,1656000
205,Gampaha,Christian,budget,1,181000
140,Kalutara,Poruwa,premium,0,4175000
59,Galle,Buddhist,standard,1,1149000
138,Kurunegala,Buddhist,premium,1,4360000
140,Gampaha,Buddhist,standard,0,1775000
373,Colombo,Hindu,budget,1,2319000
364,Kandy,Buddhist,budget,0,1706000
286,Colombo,Poruwa,budget,1,176000
158,Galle,Hindu,budget,0,767000
291,Galle,Poruwa,budget,1,1424000
373,Gampaha,Christian,budget,0,1921000
238,Galle,Hindu,budget,1,197000
230,Galle,Poruwa,budget,0,352000
217,Kalutara,Poruwa,budget,1,847000
381,Kalutara,Christian,premium,1,13157000
355,Kalutara,Poruwa,budget,1,1705000
96,Kalutara,Islamic,premium,1,4555000
290,Kandy,Hindu,standard,1,4094000
59,Kalutara,Buddhist,budget,1,159000
370,Colombo,Christian,budget,0,1363000
247,Colombo,Hindu,premium,0,11776000
122,Kurunegala,Islamic,budget,0,463000
232,Colombo,Buddhist,premium,1,9024000
388,Kandy,Islamic,premium,1,14746000
296,Galle,Christian,budget,0,1298000
242,Kurunegala,Christian,standard,1,3012000
92,Gampaha,Buddhist,premium,1,7866000
362,Kurunegala,Christian,standard,1,4383000
173,Colombo,Buddhist,standard,0,2486000
146,Kurunegala,Buddhist,standard,0,1642000
96,Galle,Buddhist,budget,1,547000
177,Kalutara,Poruwa,budget,1,632000
267,Kalutara,Poruwa,standard,0,2796000
367,Colombo,Poruwa,standard,1,5205000
253,Kandy,Christian,standard,1,3694000
329,Gampaha,Hindu,premium,0,15349000
69,Kandy,Buddhist,standard,1,1296000
371,Kalutara,Poruwa,standard,1,3934000
122,Colombo,Buddhist,premium,1,5206000
203,Colombo,Hindu,budget,0,1256000
147,Kalutara,Buddhist,budget,1,245000
213,Kandy,Buddhist,standard,1,2293000
194,Gampaha,Hindu,premium,1,9952000
320,Galle,Poruwa,premium,0,9915000
322,Kandy,Buddhist,budget,1,590000
200,Galle,Buddhist,budget,1,1050000
252,Kurunegala,Hindu,premium,1,8586000
353,Gampaha,Hindu,standard,0,4278000
223,Kandy,Hindu,standard,0,2849000
258,Colombo,Poruwa,standard,0,3338000
231,Kurunegala,Buddhist,standard,1,2778000
237,Kalutara,Hindu,standard,1,2940000
112,Kalutara,Christian,standard,0,1440000
110,Kandy,Islamic,premium,0,3326000
151,Kalutara,Poruwa,budget,0,662000
158,Galle,Christian,premium,1,4762000
332,Gampaha,Buddhist,budget,0,1091000
81,Kurunegala,Islamic,standard,1,1268000
262,Kurunegala,Buddhist,standard,0,2712000
310,Gampaha,Buddhist,premium,1,12468000
334,Kurunegala,Poruwa,standard,1,3624000
183,Galle,Hindu,standard,1,2642000
171,Gampaha,Islamic,premium,1,7102000
255,Kalutara,Christian,standard,0,2527000
186,Colombo,Buddhist,premium,0,8550000
190,Kalutara,Buddhist,standard,0,1527000
331,Colombo,Poruwa,budget,1,2107000
358,Colombo,Buddhist,standard,0,5043000
256,Kurunegala,Poruwa,premium,1,9019000
122,Colombo,Poruwa,budget,1,754000
167,Colombo,Poruwa,premium,0,7107000
188,Kurunegala,Buddhist,standard,0,1610000
253,Colombo,Islamic,premium,1,9580000
384,Galle,Poruwa,premium,1,12659000
255,Kandy,Islamic,premium,1,9631000
284,Gampaha,Buddhist,budget,1,1554000
185,Colombo,Hindu,standard,0,2969000
260,Galle,Poruwa,premium,0,10081000
264,Kandy,Poruwa,standard,1,3794000
381,Gampaha,Poruwa,budget,0,1087000
89,Kurunegala,Christian,standard,1,1139000
256,Colombo,Hindu,standard,1,4371000
273,Colombo,Buddhist,premium,0,13640000
222,Galle,Poruwa,standard,1,2158000
123,Kurunegala,Islamic,premium,0,3959000
389,Galle,Buddhist,budget,0,1767000
128,Kurunegala,Islamic,standard,1,1660000
281,Kurunegala,Poruwa,standard,1,2624000
305,Kalutara,Christian,premium,0,13202000
396,Kandy,Poruwa,budget,0,1962000
353,Kurunegala,Christian,standard,1,4373000
232,Kandy,Hindu,premium,0,7823000
388,Colombo,Islamic,budget,0,165000
202,Galle,Christian,premium,1,9852000
240,Kandy,Poruwa,premium,0,7644000
215,Colombo,Christian,premium,0,9659000
124,Kurunegala,Islamic,budget,0,392000
388,Colombo,Islamic,budget,0,2089000
258,Kurunegala,Hindu,standard,1,2976000
167,Galle,Christian,standard,1,1765000
279,Gampaha,Islamic,standard,1,3229000
199,Galle,Poruwa,standard,1,2663000
367,Kandy,Poruwa,premium,0,12696000
122,Kandy,Christian,budget,1,791000
256,Kurunegala,Islamic,premium,0,6092000
60,Gampaha,Hindu,premium,1,4593000
101,Kurunegala,Islamic,premium,0,4033000
159,Kurunegala,Islamic,standard,0,1517000
150,Gampaha,Islamic,premium,1,8194000
179,Kandy,Islamic,standard,1,2294000
287,Kandy,Islamic,standard,0,3570000
362,Gampaha,Poruwa,standard,0,3962000
155,Kurunegala,Buddhist,budget,1,810000
382,Colombo,Islamic,standard,0,4806000
344,Galle,Christian,budget,1,1510000
278,Kalutara,Christian,budget,0,1247000
88,Colombo,Poruwa,premium,1,7100000
180,Kurunegala,Hindu,standard,1,2338000
234,Kalutara,Christian,standard,0,1890000
394,Colombo,Poruwa,standard,1,3979000
176,Gampaha,Hindu,budget,1,980000
322,Gampaha,Hindu,premium,0,8474000
160,Kandy,Poruwa,premium,0,7145000
51,Kalutara,Hindu,premium,0,4511000
270,Kalutara,Hindu,budget,0,1176000
386,Kandy,Islamic,premium,0,15874000
229,Kalutara,Buddhist,budget,1,825000
147,Colombo,Islamic,budget,0,590000
317,Colombo,Christian,standard,1,4525000
270,Kurunegala,Poruwa,premium,1,7750000
241,Kandy,Buddhist,budget,0,1019000
112,Kandy,Islamic,premium,0,4492000
87,Kurunegala,Christian,standard,1,1453000
107,Colombo,Buddhist,premium,1,6657000
333,Colombo,Hindu,standard,1,4731000
257,Gampaha,Islamic,standard,1,3109000
125,Kalutara,Poruwa,budget,0,582000
167,Gampaha,Buddhist,standard,1,2461000
54,Kandy,Hindu,premium,1,4461000
93,Gampaha,Hindu,premium,0,3760000
225,Colombo,Buddhist,standard,1,3749000
165,Kalutara,Poruwa,standard,0,1774000
351,Colombo,Poruwa,budget,1,1804000
352,Galle,Christian,standard,0,4371000
241,Kandy,Hindu,standard,0,2001000
230,Kurunegala,Christian,budget,1,801000
51,Colombo,Islamic,premium,1,3611000
139,Kurunegala,Christian,premium,1,5418000
235,Kurunegala,Hindu,premium,0,4607000
89,Kurunegala,Buddhist,budget,0,440000
71,Kalutara,Christian,budget,1,395000
190,Colombo,Buddhist,standard,0,2307000
121,Kurunegala,Poruwa,premium,0,5827000
107,Colombo,Buddhist,standard,1,1901000
108,Gampaha,Hindu,budget,0,405000
93,Kandy,Christian,premium,1,5192000
149,Kandy,Hindu,budget,0,542000
337,Galle,Poruwa,standard,1,4102000
373,Kandy,Islamic,standard,1,4643000
308,Kalutara,Christian,premium,0,8895000
152,Gampaha,Poruwa,budget,1,613000
246,Kurunegala,Poruwa,premium,1,10042000
399,Kalutara,Hindu,budget,1,2089000
155,Gampaha,Hindu,budget,0,251000
372,Gampaha,Christian,premium,0,8968000
263,Kalutara,Christian,standard,0,2909000
300,Gampaha,Christian,budget,1,1370000
162,Kandy,Buddhist,budget,0,640000
305,Kalutara,Buddhist,standard,0,2901000
363,Kalutara,Buddhist,budget,1,1289000
60,Kurunegala,Poruwa,standard,0,558000
347,Gampaha,Christian,premium,1,14916000
193,Kalutara,Buddhist,premium,0,8775000
295,Gampaha,Hindu,premium,0,8298000
112,Galle,Islamic,budget,1,634000
57,Kurunegala,Hindu,standard,0,815000
120,Kurunegala,Islamic,budget,0,419000
324,Kurunegala,Hindu,budget,1,1537000
197,Colombo,Islamic,standard,1,3101000
79,Kurunegala,Christian,premium,1,6060000
71,Galle,Islamic,premium,1,5359000
119,Galle,Buddhist,budget,1,233000
175,Kandy,Poruwa,standard,1,2122000
347,Colombo,Hindu,premium,0,10808000
212,Colombo,Poruwa,budget,0,1131000
236,Galle,Hindu,standard,1,3270000
294,Kandy,Buddhist,premium,0,7130000
355,Galle,Buddhist,budget,0,132000
230,Gampaha,Hindu,standard,1,3231000
345,Gampaha,Christian,premium,0,7719000
231,Gampaha,Buddhist,standard,1,2231000
145,Kurunegala,Hindu,standard,1,1977000
91,Kurunegala,Poruwa,standard,0,1141000
211,Gampaha,Buddhist,standard,1,2506000
59,Colombo,Hindu,premium,1,3190000
208,Colombo,Hindu,budget,0,1268000
329,Kurunegala,Hindu,standard,1,3989000
177,Gampaha,Islamic,standard,1,2224000
255,Kurunegala,Islamic,budget,1,1263000
244,Kurunegala,Christian,premium,0,5519000
280,Kalutara,Islamic,budget,0,385000
64,Galle,Buddhist,budget,1,233000
