guest_group,age,priority,plus_one,wheelchair,allergy,side_code,relationship_code,has_avoid,table_type,min_age,max_age,min_priority,max_priority,min_seats,max_seats,action_if_bad
Relatives,69,3,1,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Family,43,4,1,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Friends,33,2,0,0,0,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
VIP,75,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Family,29,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Neighbours,61,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Relatives,61,3,0,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Neighbours,24,1,0,0,1,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Other,35,1,0,0,1,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,48,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Bride's Family,40,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Relatives,36,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Relatives,53,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Groom's Family,35,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Family,38,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Family,62,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
VIP,39,5,0,0,1,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Relatives,77,3,0,0,1,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Neighbours,40,1,0,0,1,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Bride's Family,20,4,1,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Family,26,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Friends,25,2,0,0,1,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Relatives,35,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Friends,35,2,0,0,1,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Groom's Family,32,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Neighbours,56,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Groom's Family,33,4,0,0,1,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Friends,31,2,0,0,1,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Groom's Family,41,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Family,40,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Friends,35,2,0,0,0,1,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Relatives,35,3,1,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
VIP,50,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Bride's Friends,30,2,0,0,1,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Neighbours,35,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,18,5,0,0,1,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Friends,38,2,1,0,0,1,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Bride's Family,29,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
VIP,59,5,1,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
VIP,56,5,0,0,1,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
VIP,61,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Family,59,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Relatives,33,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Groom's Colleagues,50,2,0,0,0,1,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Groom's Family,44,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Other,35,1,0,0,1,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Groom's Family,38,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
VIP,72,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Neighbours,19,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,57,5,0,0,1,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Family,53,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Groom's Family,25,4,1,0,0,1,4,1,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
VIP,59,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Bride's Family,24,4,0,1,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
VIP,36,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Bride's Family,19,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Neighbours,35,1,0,0,1,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Other,72,1,0,0,1,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Relatives,56,3,1,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Groom's Family,50,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Groom's Family,41,4,0,0,1,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Relatives,35,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Neighbours,31,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Groom's Family,3,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
VIP,47,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Friends,24,2,0,0,0,1,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
VIP,46,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Neighbours,65,1,0,0,1,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,52,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Relatives,62,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Colleagues,26,2,0,0,0,0,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Other,26,1,0,1,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,35,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Bride's Colleagues,32,2,0,0,1,0,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Groom's Colleagues,34,2,0,0,0,1,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Groom's Colleagues,49,2,0,1,0,1,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Bride's Family,40,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
VIP,50,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Relatives,35,3,0,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Family,36,4,0,0,1,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Family,54,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Groom's Family,24,4,0,1,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Friends,34,2,0,0,0,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Groom's Family,19,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
VIP,59,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Other,36,1,0,0,1,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Neighbours,73,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Neighbours,65,1,0,0,1,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Groom's Colleagues,36,2,0,0,0,1,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Bride's Family,32,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Relatives,61,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
VIP,68,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Bride's Family,23,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Relatives,35,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Family,59,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Family,35,4,0,0,1,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Other,54,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Groom's Family,44,4,1,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Other,66,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Bride's Family,44,4,0,0,1,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Relatives,35,3,0,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Friends,25,2,0,0,0,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Bride's Friends,27,2,0,0,0,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Bride's Friends,35,2,1,0,0,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Bride's Friends,30,2,0,0,1,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
VIP,67,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
VIP,54,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
VIP,61,5,0,1,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Bride's Friends,35,2,0,1,0,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Other,31,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,36,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Relatives,35,3,0,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Neighbours,64,1,0,0,1,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Bride's Friends,35,2,0,0,0,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
VIP,35,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
VIP,35,5,0,0,1,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Bride's Friends,39,2,0,1,0,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Neighbours,71,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Groom's Colleagues,35,2,0,0,0,1,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Relatives,47,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
VIP,33,5,1,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Family,16,4,0,0,1,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Family,27,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
VIP,59,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
VIP,52,5,1,0,1,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Friends,29,2,0,0,0,1,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Groom's Family,14,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Groom's Family,18,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Relatives,35,3,0,0,1,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Relatives,51,3,0,0,1,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Groom's Family,39,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Groom's Family,35,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
VIP,39,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Bride's Family,42,4,0,0,1,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Neighbours,54,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,59,5,0,0,1,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Relatives,65,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Family,37,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Family,59,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Family,10,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Friends,21,2,0,0,1,1,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Groom's Friends,23,2,1,0,0,1,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Groom's Friends,40,2,0,0,0,1,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
VIP,39,5,0,0,1,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Friends,33,2,0,0,0,1,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Groom's Family,35,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Groom's Colleagues,46,2,0,0,0,1,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Bride's Family,52,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
VIP,43,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
VIP,35,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Other,25,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Relatives,35,3,1,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Neighbours,16,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Other,34,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Bride's Colleagues,45,2,0,0,0,0,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Other,30,1,0,0,1,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Relatives,35,3,0,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Family,49,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Family,38,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Family,30,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Family,39,4,1,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Family,35,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
VIP,72,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Friends,36,2,0,0,0,1,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Bride's Family,25,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Colleagues,40,2,0,0,0,1,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
VIP,37,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
VIP,21,5,0,1,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Family,51,4,0,0,0,1,4,1,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Family,67,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Family,64,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Neighbours,35,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Bride's Family,17,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
VIP,25,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Family,64,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Other,35,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Relatives,49,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Family,50,4,0,0,1,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Relatives,35,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Relatives,50,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Relatives,35,3,0,1,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Relatives,54,3,0,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Family,48,4,1,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Family,64,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Relatives,66,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Groom's Family,70,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
VIP,41,5,0,0,1,2,5,1,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Other,35,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Groom's Family,47,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Family,35,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Colleagues,40,2,0,0,0,1,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
VIP,70,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Family,46,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Relatives,38,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
VIP,63,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Neighbours,32,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,35,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Neighbours,30,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Bride's Friends,26,2,0,0,0,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
